"PUBLICATION","SCENARIO","CATEGORY","PRODUCT","FLOW","UNIT","REGION","YEAR","VALUE"
"World Energy Outlook 2025","Current Policies Scenario","Energy","Hydro","Total energy supply","EJ","World",2050,22.634
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Hydro","Total energy supply","EJ","World",2035,18.509
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Hydro","Total energy supply","EJ","World",2040,19.923
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Hydro","Total energy supply","EJ","World",2050,22.98
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Hydro","Total energy supply","EJ","World",2035,20.961
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Hydro","Total energy supply","EJ","World",2040,23.422
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Hydro","Total energy supply","EJ","World",2050,26.633
"World Energy Outlook 2025","Historical","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2010,22.557
"World Energy Outlook 2025","Historical","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2023,35.343
"World Energy Outlook 2025","Historical","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2024,36.557
"World Energy Outlook 2025","Current Policies Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2035,46.998
"World Energy Outlook 2025","Current Policies Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2040,50.745
"World Energy Outlook 2025","Current Policies Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2050,58.727
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2035,46.552
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2040,49.324
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2050,55.956
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2035,60.331
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2040,66.855
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2050,75.153
"World Energy Outlook 2025","Historical","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2010,2.376
"World Energy Outlook 2025","Historical","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2023,4.738
"World Energy Outlook 2025","Historical","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2024,4.951
"World Energy Outlook 2025","Current Policies Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2035,7.004
"World Energy Outlook 2025","Current Policies Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2040,8.275
"World Energy Outlook 2025","Current Policies Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2050,11.302
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2035,6.914
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2040,7.616
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2050,9.231
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2035,10.685
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2040,11.868
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2050,12.031
"World Energy Outlook 2025","Historical","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2010,0.859
"World Energy Outlook 2025","Historical","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2023,1.584
"World Energy Outlook 2025","Historical","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2024,1.679
"World Energy Outlook 2025","Current Policies Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2035,2.955
"World Energy Outlook 2025","Current Policies Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2040,3.894
"World Energy Outlook 2025","Current Policies Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2050,6.461
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2035,3.436
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2040,4.807
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2050,8.521
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2035,5.981
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2040,9.628
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2050,15.151
"World Energy Outlook 2025","Historical","Energy","Traditional use of biomass","Total energy supply","EJ","World",2010,20.883
"World Energy Outlook 2025","Historical","Energy","Traditional use of biomass","Total energy supply","EJ","World",2023,18.852
"World Energy Outlook 2025","Historical","Energy","Traditional use of biomass","Total energy supply","EJ","World",2024,18.834
"World Energy Outlook 2025","Current Policies Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2035,16.806
"World Energy Outlook 2025","Current Policies Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2040,16.18
"World Energy Outlook 2025","Current Policies Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2050,14.396
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2035,13.887
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2040,12.693
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2050,10.41
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2035,0
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2040,0
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2050,0
